,Accuracy,Precision,Recall,Specificity,F1-Score,Cohen_Kappa,ROC_AUC
Random Forest,0.7717206132879046,0.555366269165247,0.6980728051391863,0.7982998454404946,0.618595825426945,0.45870736086175945,0.8355695368841201
XGBoost,0.7773992049971608,0.5757575757575758,0.6102783725910065,0.8377125193199382,0.5925155925155925,0.43956900415018607,0.8359890319014791
