,Accuracy,Precision,Recall,F1-Score,Cohen_Kappa
Naive Bayes,0.81296,0.7508082431384484,0.81296,0.7539523784876888,0.2402708394813554
SVM,0.8456,0.817360961997316,0.8456,0.8241563622237215,0.5105893255119591
