,Accuracy,Precision,Recall,F1-Score,Cohen_Kappa,Specificity,ROC_AUC
Member 1 - Naive Bayes (Reviews),0.81296,0.7508082431384484,0.81296,0.7539523784876888,0.2402708394813554,,
Member 1 - SVM (Reviews),0.8456,0.817360961997316,0.8456,0.8241563622237215,0.5105893255119591,,
Member 2 - Random Forest (Churn),0.7717206132879046,0.555366269165247,0.6980728051391863,0.618595825426945,0.45870736086175945,0.7982998454404946,0.8355695368841201
Member 2 - XGBoost (Churn),0.7773992049971608,0.5757575757575758,0.6102783725910065,0.5925155925155925,0.43956900415018607,0.8377125193199382,0.8359890319014791
